"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Nick Lodolo","CIN","SP","119.9","142","6","0","4.12","1.25","55","109","41","18","29","22","6","0","266"
"Steven Matz","STL","SP,RP","119.9","113","8","0","4.03","1.28","54","117","36","15","30","21","7","0","243"
"Ryne Nelson","ARI","SP","119.2","88","6","0","4.78","1.38","63","125","39","19","31","20","7","0","188"
"Jordan Wicks","CHC","SP","118.5","100","7","0","4.40","1.35","58","119","41","16","26","22","7","0","220"
"Chase Silseth","LAA","SP,RP","118.0","116","7","0","4.33","1.35","57","110","49","17","28","22","7","0","231"
"John Means","BAL","SP","117.5","91","7","0","4.30","1.22","56","116","28","20","26","21","7","0","214"
"Keaton Winn","SF","SP","116.9","101","6","0","4.16","1.29","54","116","35","13","28","20","7","0","217"
"Kodai Senga","NYM","SP","116.1","135","8","0","3.73","1.27","48","96","51","14","20","20","6","1","278"
"Anthony DeSclafani","MIN","SP","115.8","93","6","0","4.55","1.31","59","121","31","17","32","18","7","0","192"
"Chris Paddack","MIN","RP","115.0","104","7","0","4.31","1.25","55","116","28","16","27","21","7","0","218"
"Michael Lorenzen","","SP,RP","113.7","90","7","0","4.64","1.36","59","114","41","16","23","20","7","1","203"
"Matt Manning","DET","SP","113.5","84","6","0","4.64","1.34","59","115","38","16","25","22","8","0","180"
"Jordan Hicks","SF","RP","113.4","126","7","0","3.84","1.35","48","98","56","10","34","20","7","0","244"
"J.P. France","HOU","SP","112.8","100","7","0","4.52","1.40","57","111","46","17","43","14","6","0","209"
"Trevor Williams","WSH","SP","112.1","87","5","0","5.15","1.45","64","125","38","21","37","18","8","0","169"
"Jakob Junis","MIL","SP,RP","111.4","109","6","0","4.40","1.29","54","112","31","18","30","17","6","0","207"
"Alek Manoah","TOR","SP","111.0","101","7","0","4.50","1.34","56","104","45","16","23","20","7","0","211"
"Luis Medina","OAK","SP,RP","110.2","103","5","0","4.67","1.48","57","105","58","13","26","20","8","0","190"
"Garrett Whitlock","BOS","SP,RP","109.7","108","7","1","3.98","1.22","48","108","26","14","41","14","5","0","228"
"Michael Soroka","CWS","SP","109.5","93","6","0","4.57","1.33","56","109","37","17","27","19","8","0","184"
"Trevor Rogers","MIA","SP","108.8","109","6","0","4.16","1.30","50","104","38","13","25","20","7","0","216"
"Jhony Brito","SD","SP,RP","108.0","85","7","0","4.22","1.29","51","107","33","14","39","16","7","0","191"
"Robert Gasser","MIL","SP","106.7","103","5","0","4.41","1.34","52","102","40","16","28","18","6","0","197"
"Luis L. Ortiz","PIT","SP","106.3","82","5","0","4.82","1.49","57","111","47","14","32","18","7","0","162"
"Alex Cobb","SF","SP","105.7","94","6","0","3.86","1.31","45","107","31","10","20","20","5","1","215"
"Peter Lambert","COL","SP,RP","105.7","83","4","0","5.41","1.50","64","118","40","19","29","17","8","0","143"
"Mike Clevinger","","SP","105.4","91","7","0","4.58","1.31","54","104","34","17","22","19","7","1","195"
"James Paxton","LAD","SP","105.3","110","8","0","4.31","1.30","50","100","37","17","25","19","6","0","232"
"Casey Mize","DET","SP","105.3","79","5","0","4.57","1.32","53","107","31","15","20","20","7","1","177"
"DL Hall","MIL","RP","104.0","127","6","0","3.82","1.30","44","87","48","13","38","16","5","0","231"
"Emmet Sheehan","LAD","SP","103.7","116","7","0","4.30","1.28","50","88","45","16","33","17","5","0","226"
"Chris Flexen","CWS","SP,RP","102.5","77","5","0","5.07","1.45","58","112","37","18","26","17","7","0","155"
"Tyler Wells","BAL","SP","99.4","92","6","0","4.32","1.21","48","90","30","17","42","13","5","0","187"
"Matt Waldron","SD","SP","98.9","77","5","0","4.79","1.35","53","102","31","16","18","18","6","0","164"
"Joe Boyle","OAK","SP","98.5","108","5","0","4.50","1.51","49","83","66","11","26","17","7","0","189"
"Ryan Feltner","COL","SP","98.5","83","5","0","5.28","1.50","58","105","42","16","20","20","7","0","156"
"Randy Vasquez","SD","SP,RP","96.5","83","5","0","4.35","1.37","47","92","40","13","25","17","6","0","168"
"Shane Baz","TB","SP","95.7","104","6","0","3.85","1.20","41","84","31","13","23","18","5","0","211"
"Tylor Megill","NYM","SP","95.3","85","5","0","4.65","1.40","49","97","36","14","37","14","6","0","164"
"Kyle Bradish","BAL","SP","95.1","93","7","0","3.80","1.23","40","86","31","11","17","17","5","0","211"
"Javier Assad","CHC","SP,RP","93.5","78","5","0","4.42","1.38","46","93","36","12","41","11","5","0","157"
"Max Scherzer","TEX","SP","91.3","102","6","0","3.94","1.15","40","81","24","15","16","16","5","0","207"
"Cole Irvin","BAL","SP,RP","90.8","69","5","0","4.41","1.28","45","96","21","14","41","10","5","0","145"
"A.J. Puk","MIA","RP","90.4","106","5","3","3.88","1.23","39","81","30","12","45","9","6","0","199"
"Zack Greinke","","SP","90.4","60","5","0","4.69","1.34","47","101","20","15","17","17","6","0","147"
