"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Tyler Samaniego","PIT","","19.4","16","1","0","4.42","1.51","10","20","9","2","19","0","1","0","28"
"Ryan Rolison","COL","SP","19.4","15","1","0","5.23","1.52","11","22","7","4","8","3","2","0","28"
"Logan Gragg","STL","","19.4","12","1","0","4.81","1.42","10","21","6","3","19","0","1","0","25"
"Tyler Gilbert","CIN","SP,RP","19.3","16","1","0","4.88","1.43","10","20","7","3","11","1","1","0","28"
"Brandon Hughes","ARI","RP","19.1","21","1","0","4.14","1.31","9","17","8","2","19","0","1","0","34"
"Joel Kuhnel","HOU","RP","19.1","15","1","0","4.55","1.36","10","20","6","3","17","0","1","0","27"
"Mason Fluharty","TOR","RP","19.0","18","1","0","4.27","1.36","9","18","8","3","19","0","1","0","31"
"Ty Buttrey","SEA","RP","19.0","15","1","0","4.84","1.52","10","19","10","3","19","0","1","0","27"
"Albert Suarez","BAL","RP","19.0","18","0","0","5.68","1.53","12","20","9","3","19","0","0","0","23"
"Matt Canterino","MIN","SP","18.9","18","1","0","4.41","1.35","9","17","8","3","4","4","1","0","39"
"Cade Povich","BAL","SP","18.8","18","1","0","4.41","1.38","9","18","8","3","7","3","1","0","39"
"Jose Espada","","SP,RP","18.8","20","1","0","4.90","1.39","10","18","8","4","19","0","1","0","32"
"Max Kranick","NYM","SP","18.8","15","1","0","4.39","1.35","9","19","7","3","18","0","1","0","28"
"Tanner Burns","CLE","SP","18.8","16","1","0","4.75","1.48","10","19","8","3","17","0","1","0","28"
"Geoff Hartlieb","COL","RP","18.8","16","1","0","4.89","1.52","10","20","9","3","16","0","1","0","28"
"Casey Lawrence","SEA","RP","18.8","15","1","0","4.92","1.33","10","20","5","4","16","0","1","0","25"
"Ricky Vanasco","LAD","SP,RP","18.7","20","1","0","4.48","1.46","9","17","10","3","19","0","1","0","32"
"Yosver Zulueta","TOR","SP","18.7","19","1","0","4.45","1.45","9","17","10","2","18","0","1","0","31"
"Jackson Wolf","PIT","SP","18.7","16","1","0","4.53","1.37","9","19","7","3","15","1","1","0","29"
"Cade Horton","CHC","SP","18.6","17","1","0","4.57","1.34","9","18","7","3","4","4","1","0","34"
"Jack Leiter","TEX","SP","18.5","18","1","0","5.31","1.58","11","18","11","3","4","4","1","0","36"
"Drew Pomeranz","LAA","RP","18.5","19","1","0","4.52","1.43","9","17","9","3","19","0","1","0","31"
"Ryan Jensen","MIN","SP,RP","18.5","17","1","0","4.99","1.64","10","16","14","2","17","1","1","0","27"
"Clayton Andrews","NYY","RP","18.4","20","1","0","4.32","1.38","9","16","9","2","19","0","1","0","32"
"Elieser Hernandez","LAD","SP,RP","18.4","19","1","0","4.49","1.22","9","17","5","3","16","0","1","0","32"
"Kade McClure","PIT","SP","18.4","16","1","0","4.77","1.41","10","19","6","3","18","0","1","0","28"
"Lucas Luetge","BOS","RP","18.2","17","1","0","4.55","1.44","9","19","7","2","17","0","1","0","29"
"Ryder Ryan","PIT","SP,RP","18.2","16","1","0","4.53","1.45","9","18","9","2","17","0","1","0","28"
"Kyle Crick","NYM","RP","18.1","19","1","0","4.23","1.37","8","15","10","2","19","0","1","0","32"
"Justin Yeager","MIL","","18.1","19","1","0","4.66","1.49","9","17","10","3","18","0","1","0","31"
"Tyler Beede","CLE","SP,RP","18.1","15","1","0","5.21","1.57","10","19","10","3","17","0","1","0","26"
"Ryan Burr","PHI","RP","18.0","15","1","0","4.62","1.40","9","17","8","3","15","0","1","0","27"
"Enmanuel De Jesus","","","18.0","15","1","0","4.36","1.49","9","19","8","2","15","0","1","0","27"
"Jeff Lindgren","MIA","SP,RP","18.0","13","1","0","4.80","1.46","10","19","7","3","16","0","1","0","24"
"Richard Lovelady","CHC","RP","17.9","17","1","0","3.83","1.26","8","16","7","2","18","0","1","0","30"
"Dan Altavilla","KC","RP","17.8","19","1","0","4.26","1.37","8","16","9","2","18","0","1","0","32"
"Ricky Karcher","ARI","RP","17.8","20","1","0","5.35","1.74","11","15","16","2","15","0","1","0","28"
"Michael Plassmeyer","PIT","RP","17.7","15","2","0","4.33","1.35","8","19","5","3","13","1","2","0","33"
"Justin Wilson","LAD","RP","17.7","17","1","0","4.32","1.36","8","17","7","2","18","0","1","0","30"
"Vladimir Gutierrez","MIA","SP","17.7","14","1","0","5.56","1.56","11","20","8","3","13","1","1","0","28"
"Austin Warren","SF","RP","17.7","16","1","0","4.57","1.44","9","17","8","2","18","0","1","0","28"
"Robert Gsellman","WSH","RP","17.7","13","1","0","5.29","1.50","10","20","7","3","17","0","1","0","24"
"Kirby Snead","SEA","RP","17.5","16","1","0","4.21","1.40","8","17","7","2","17","0","1","0","29"
"Sean Reynolds","SD","RP","17.5","17","0","0","4.95","1.53","10","16","10","2","17","0","1","0","20"
"Julio Urias","","SP","17.4","16","1","0","4.00","1.19","8","16","5","2","3","3","1","0","33"
"Diego Castillo","TEX","RP","17.3","16","1","1","4.66","1.41","9","16","8","3","17","0","1","0","33"
"Evan Reifert","TB","","17.3","19","1","0","4.90","1.57","9","16","11","2","17","0","1","0","30"
"Ethan Roberts","CHC","RP","17.3","17","1","0","4.03","1.30","8","16","6","2","17","0","1","0","30"
"Jose Marte","LAA","RP","17.3","18","1","0","5.08","1.64","10","16","12","2","18","0","1","0","27"
"Reed Garrett","NYM","RP","17.2","16","1","0","4.66","1.47","9","17","8","2","17","0","1","0","27"
"Tommy Nance","SD","RP","17.1","18","1","0","4.09","1.34","8","16","7","2","17","0","1","0","30"
"Wily Peralta","PIT","RP","17.1","13","1","0","4.32","1.48","8","17","8","2","13","0","1","0","25"
"Antonio Senzatela","COL","SP","17.1","9","1","0","4.97","1.49","9","21","5","3","3","3","1","0","25"
"Karl Kauffmann","COL","SP,RP","17.1","11","1","0","6.12","1.74","12","21","9","3","13","1","1","0","19"
"Jeurys Familia","","RP","16.9","15","1","0","4.75","1.52","9","17","9","2","17","0","1","0","26"
"Justin Garza","SF","RP","16.9","15","1","0","5.23","1.54","10","17","9","3","13","0","1","0","25"
"Jordan Balazovic","MIN","RP","16.8","16","1","0","4.46","1.42","8","17","7","2","16","0","1","0","28"
"Nicholas Padilla","CWS","RP","16.8","16","1","0","4.40","1.52","8","16","9","2","15","0","1","0","28"
"Matt Cronin","WSH","RP","16.7","20","1","0","4.05","1.33","8","13","9","2","17","0","1","0","31"
"Jacob Barnes","WSH","RP","16.6","13","1","0","4.77","1.42","9","17","6","2","16","0","1","0","24"
"Walter Pennington","KC","","16.6","13","1","0","4.66","1.52","9","17","8","2","17","0","1","0","24"
"Paolo Espino","TOR","SP,RP","16.5","12","1","0","5.90","1.48","11","20","5","4","7","3","1","0","25"
"Adam Kolarek","LAA","RP","16.5","12","1","0","4.66","1.56","9","18","8","2","16","0","1","0","22"
"Matt Krook","BAL","RP","16.4","16","1","0","4.30","1.49","8","15","10","2","16","0","1","0","27"
"Packy Naughton","STL","SP,RP","16.4","13","1","0","3.91","1.31","7","17","5","1","9","0","1","0","26"
"Joey Krehbiel","SEA","RP","16.4","15","0","0","6.30","1.73","11","18","11","4","14","0","1","0","15"
"Jose Quijada","LAA","RP","16.3","19","1","0","4.26","1.33","8","14","8","2","17","0","1","0","30"
"Logan Gillaspie","SD","RP","16.3","14","1","0","4.40","1.35","8","16","6","2","17","0","1","0","26"
"Wander Suero","HOU","RP","16.3","15","1","0","4.70","1.39","9","16","7","2","16","0","1","0","25"
"Drew Anderson","DET","RP","16.3","14","1","0","4.86","1.45","9","17","7","2","15","0","1","0","24"
"Sam Long","KC","SP,RP","16.3","13","1","0","4.73","1.43","9","17","7","2","11","0","1","0","23"
"Anthony Gose","CLE","RP","16.2","20","1","0","3.98","1.34","7","13","9","2","16","0","1","0","32"
"Yoendrys Gomez","NYY","RP","16.2","16","1","0","4.35","1.36","8","15","7","2","16","0","1","0","27"
"Darren McCaughan","MIA","RP","16.2","13","1","0","4.74","1.33","9","18","4","3","13","0","1","0","24"
"DJ Herz","WSH","SP","16.1","18","1","0","4.59","1.48","8","14","10","2","14","0","1","0","29"
"Juan Then","","RP","16.1","13","1","0","4.74","1.43","8","17","6","2","15","0","1","0","24"
"Cory Abbott","SEA","SP,RP","16.0","16","1","0","5.01","1.45","9","16","8","3","7","2","1","0","26"
"Cam Sanders","CHC","","15.9","17","1","0","4.75","1.53","8","14","10","2","15","0","1","0","27"
"Landon Knack","LAD","SP","15.9","15","1","0","4.43","1.31","8","16","5","2","14","0","1","0","26"
"Anthony Misiewicz","NYY","RP","15.9","15","1","0","4.53","1.35","8","16","6","3","16","0","1","0","26"
"Garrett Hill","DET","SP,RP","15.8","14","1","0","4.52","1.46","8","15","8","2","14","0","1","0","25"
"Adam Kloffenstein","STL","SP","15.7","13","1","0","4.47","1.43","8","15","7","2","13","1","1","0","24"
"Luis Cessa","KC","SP,RP","15.7","11","1","0","4.78","1.49","8","18","6","2","13","0","1","0","22"
"Ronny Henriquez","MIN","RP","15.6","14","1","0","4.75","1.43","8","16","6","2","15","0","1","0","25"
"Christian Roa","CIN","SP","15.5","17","1","0","4.82","1.49","8","14","9","3","15","0","1","0","27"
"Austin Pope","ARI","","15.5","14","1","0","4.38","1.41","8","16","6","2","15","0","1","0","25"
"Ben Heller","PIT","RP","15.4","14","1","0","4.42","1.39","8","15","7","2","15","0","1","0","25"
"Wilking Rodriguez","STL","RP","15.3","15","1","0","4.08","1.37","7","14","7","2","15","0","1","0","26"
"Easton Lucas","OAK","RP","15.3","14","1","0","4.40","1.36","7","14","6","2","14","0","1","0","26"
"Chris Wright","SF","","15.2","16","1","0","4.68","1.55","8","14","9","2","15","0","1","0","26"
"Spencer Arrighetti","HOU","SP","15.1","14","1","0","4.73","1.40","8","14","7","2","6","2","1","0","28"
"Hayden Juenger","TOR","SP","14.9","15","1","0","4.37","1.34","7","14","6","2","15","0","1","0","26"
"Wilmer Flores","DET","SP","14.7","12","1","0","4.28","1.35","7","15","5","2","11","1","1","0","27"
"Drew Hutchison","","SP,RP","14.7","10","1","0","5.50","1.54","9","16","7","3","4","2","1","0","23"
"Hobie Harris","MIN","RP","14.6","12","1","0","5.26","1.61","8","15","8","2","12","0","1","0","22"
"Randy Dobnak","MIN","RP","14.5","11","1","0","4.27","1.43","7","16","5","1","12","0","1","0","22"
"Zach Logue","ATL","SP","14.5","12","1","0","5.43","1.49","9","16","5","3","10","0","1","0","21"
"Chad Smith","NYM","RP","14.4","14","1","0","4.48","1.50","7","13","8","2","12","0","1","0","24"
"Grant Holmes","ATL","SP","14.2","13","1","0","5.15","1.53","8","15","6","3","14","0","0","0","26"
"Devin Smeltzer","MIA","SP,RP","14.2","10","1","0","4.85","1.42","8","16","5","3","8","1","1","0","24"
"Matt Foster","CWS","RP","14.1","13","1","0","4.58","1.33","7","14","5","2","14","0","1","0","24"
"Thomas Hatch","","SP,RP","14.1","13","1","0","4.89","1.48","8","16","5","2","11","1","1","0","23"
"Daniel Robert","TEX","","14.0","14","1","0","4.97","1.47","8","13","7","2","14","0","1","0","23"
"Carson Fulmer","LAA","SP","13.9","14","1","0","4.73","1.56","7","13","9","2","12","0","1","0","24"
"Logan Allen","ARI","RP","13.9","11","0","0","5.05","1.54","8","15","6","2","10","1","1","0","13"
"Enoli Paredes","MIL","RP","13.7","16","1","0","4.12","1.43","6","11","9","1","15","0","1","0","26"
"Freddy Pacheco","","RP","13.7","17","1","0","4.85","1.66","7","11","12","1","14","0","1","0","26"
"Tim Cate","WSH","SP","13.7","10","1","0","4.63","1.48","7","14","6","2","14","0","1","0","20"
"Nabil Crismatt","LAD","RP","13.7","12","0","0","4.78","1.35","7","14","4","2","11","0","1","0","15"
"Jovani Moran","MIN","RP","13.6","16","0","0","3.78","1.33","6","11","7","1","13","0","0","0","22"
"Liam Hendriks","BOS","RP","13.4","17","1","0","3.55","1.13","5","11","4","2","13","0","1","0","29"
"Danny Young","NYM","RP","13.3","14","1","0","4.05","1.41","6","12","7","1","13","0","0","0","27"
"Mitchell Parker","WSH","SP","13.1","12","1","0","4.85","1.49","7","13","7","2","7","2","1","0","25"
"T.J. Brock","TOR","","13.0","14","1","0","4.26","1.35","6","12","6","1","13","0","1","0","24"
"Anthony Solometo","PIT","SP","13.0","11","1","0","4.40","1.38","6","13","5","2","13","0","1","0","22"
"Kyle Backhus","ARI","","13.0","11","1","0","4.23","1.46","6","13","6","2","13","0","1","0","21"
"Patrick Monteverde","MIA","SP","13.0","11","1","0","4.55","1.39","7","13","5","2","12","0","1","0","21"
"Victor Mederos","LAA","RP","13.0","11","1","0","4.75","1.52","7","13","6","2","11","1","1","0","20"
"Blake Taylor","TEX","RP","13.0","9","0","0","5.36","1.64","8","14","7","2","13","0","1","0","10"
"Justin Bruihl","CIN","RP","12.9","11","1","0","4.21","1.37","6","12","5","2","13","0","1","0","21"
"Bailey Horn","CWS","RP","12.9","12","1","0","4.74","1.49","7","13","7","2","11","0","1","0","21"
"Jacob Waguespack","TB","SP,RP","12.8","12","1","0","4.29","1.34","6","12","5","2","13","0","1","0","22"
"Seth Johnson","BAL","SP","12.5","11","1","0","4.39","1.39","6","12","5","2","3","3","1","0","25"
"Dugan Darnell","COL","","12.5","11","1","0","4.68","1.46","6","13","5","2","12","0","1","0","21"
"Taylor Lehman","PHI","","12.5","11","1","0","4.92","1.52","7","13","6","2","12","0","1","0","20"
"Blayne Enlow","SF","SP","12.4","11","1","0","4.22","1.36","6","13","4","2","6","0","1","0","21"
"Rony Garcia","","SP,RP","12.4","11","1","0","4.95","1.37","7","12","5","2","8","1","1","0","20"
"Devin Sweet","DET","RP","12.2","11","0","0","4.47","1.32","6","12","4","2","11","0","0","0","16"
"Carson Seymour","SF","SP","12.1","11","2","0","4.20","1.51","6","14","4","1","12","0","2","0","25"
"Trevor Kelley","SEA","SP,RP","12.1","10","1","0","4.74","1.35","6","12","4","2","11","0","1","0","20"
"Logan Sawyer","STL","","12.1","10","1","0","4.95","1.49","7","13","5","2","12","0","1","0","19"
"Cody Laweryson","MIN","","12.1","11","0","0","4.38","1.32","6","12","4","2","12","0","0","0","16"
"Erik Sabrowski","CLE","","12.0","12","1","0","4.52","1.49","6","11","7","1","12","0","1","0","21"
"Edwin Escobar","CHC","RP","12.0","9","1","0","4.50","1.50","6","13","5","2","12","0","1","0","19"
"Michael Mercado","PHI","SP,RP","11.9","11","1","0","4.77","1.43","6","12","5","2","10","1","1","0","20"
"Pierson Ohl","MIN","","11.9","9","1","0","4.40","1.25","6","13","2","2","12","0","1","0","19"
"Zak Kent","TEX","SP","11.9","11","0","0","4.47","1.35","6","12","4","2","8","1","1","0","17"
"Albert Abreu","","RP","11.9","12","0","0","4.67","1.45","6","11","6","2","9","0","0","0","17"
"Joe Barlow","CWS","RP","11.9","10","0","0","4.80","1.39","6","12","5","2","13","0","1","0","12"
"Colten Brewer","CHC","RP","11.9","11","0","0","5.03","1.52","7","12","6","2","10","0","1","0","12"
"Angel Perdomo","ATL","RP","11.7","16","1","0","3.69","1.30","5","9","6","1","11","0","0","0","29"
"Francisco Perez","OAK","RP","11.7","12","1","0","4.17","1.38","5","10","6","1","9","0","1","0","22"
"Blake Walston","ARI","SP","11.7","8","0","0","5.16","1.52","7","13","5","2","2","2","1","0","13"
"Jhonathan Diaz","SEA","SP","11.5","10","0","0","4.20","1.41","5","11","5","1","8","0","0","0","16"
"Mike Vasil","NYM","SP","11.3","11","1","0","4.59","1.34","6","11","4","2","3","2","0","0","27"
"Nic Enright","CLE","RP","11.2","11","1","0","4.04","1.24","5","10","3","2","11","0","1","0","21"
"Erich Uelmen","","RP","11.1","9","1","0","5.14","1.52","6","11","6","2","11","0","0","0","20"
"Gordon Graceffo","STL","SP","11.1","8","0","0","4.64","1.40","6","12","4","2","2","2","1","0","13"
"Josh Walker","NYM","RP","11.0","11","1","0","4.17","1.32","5","10","4","1","12","0","0","0","24"
"Tekoah Roby","STL","SP","11.0","9","0","0","4.87","1.42","6","11","4","2","2","2","1","0","14"
"Carson Whisenhunt","SF","SP","10.7","11","1","0","4.26","1.42","5","11","4","1","5","2","1","0","24"
"Dinelson Lamet","LAD","SP,RP","10.7","12","1","0","4.82","1.36","6","10","5","2","10","0","1","0","20"
"Bradley Hanner","CLE","","10.7","9","1","0","5.18","1.58","6","11","6","2","11","0","1","0","17"
"Rob Zastryzny","MIL","RP","10.7","10","0","0","4.88","1.49","6","11","5","2","11","0","0","0","14"
"Kevin Kopps","SD","SP","10.6","9","0","0","4.48","1.50","5","11","5","1","11","0","0","0","14"
"Adrian Sampson","TEX","SP","10.4","7","1","0","4.99","1.52","6","12","3","2","6","1","2","0","12"
"Thomas Szapucki","SF","RP","10.3","12","0","0","4.06","1.38","5","9","5","1","6","0","0","0","16"
"Sem Robberse","STL","SP","10.1","7","0","0","4.89","1.42","5","11","4","1","2","2","1","0","12"
"Nate Lavender","NYM","","10.0","12","1","0","3.68","1.30","4","8","5","1","10","0","1","0","22"
"Reid VanScoter","SEA","","10.0","8","1","0","4.28","1.45","5","10","4","1","10","0","0","0","20"
"Spencer Bivens","SF","","10.0","8","1","0","4.77","1.48","5","10","4","1","10","0","1","0","17"
"Justin Armbruester","BAL","SP","10.0","8","0","0","4.56","1.38","5","10","4","2","10","0","0","0","12"
"Nick Frasso","LAD","SP","9.8","10","1","0","3.84","1.27","4","8","4","1","7","1","1","0","20"
"Connor Cooke","TOR","RP","9.8","10","1","0","3.92","1.30","4","9","4","1","10","0","1","0","20"
"Colton Gordon","HOU","SP","9.5","9","1","0","4.33","1.31","5","9","4","1","9","0","0","0","20"
"Chih-Jung Liu","BOS","","9.5","9","1","0","4.72","1.54","5","11","4","1","9","0","1","0","17"
"Davis Martin","CWS","SP,RP","9.5","8","1","0","5.24","1.39","6","10","3","2","6","1","1","0","15"
"Juan Mejia","COL","RP","9.5","8","0","0","5.26","1.57","6","10","5","1","9","0","0","0","11"
"Christian Scott","NYM","RP","9.3","9","0","0","4.21","1.31","4","9","3","1","2","2","0","0","18"
"Matt Wisler","","SP,RP","9.3","8","1","0","4.41","1.32","5","9","3","1","7","1","1","0","16"
"Griff McGarry","PHI","SP","9.3","10","0","0","4.88","1.58","5","9","6","1","7","1","0","0","13"
"Brooks Kriske","CIN","RP","9.2","10","0","0","4.48","1.35","5","8","5","1","9","0","1","0","10"
"Mike Burrows","PIT","SP","9.0","8","1","0","4.60","1.41","5","9","4","1","7","1","0","0","19"
"Alan Busenitz","CIN","RP","9.0","8","0","0","5.34","1.50","5","10","4","1","8","0","1","0","8"
"Jeff Criswell","COL","SP","8.8","7","0","0","5.41","1.53","5","10","4","2","2","2","1","0","11"
"Zach McCambley","MIA","SP","8.5","8","0","0","4.65","1.42","4","9","3","1","8","0","0","0","12"
"Daniel Castano","","SP","8.5","6","0","0","5.25","1.48","5","9","3","1","2","1","0","0","9"
"Richard Fitts","BOS","SP","8.1","6","1","0","4.88","1.42","4","9","2","2","2","2","0","0","21"
"Brant Hurter","DET","SP","8.1","7","0","0","4.56","1.34","4","9","2","1","2","2","1","0","12"
"Brett Kerry","LAA","","8.1","6","0","0","5.44","1.51","5","9","3","2","2","2","1","0","10"
"Luke Albright","ARI","","8.1","6","0","0","5.35","1.59","5","9","4","2","2","2","1","0","9"
"Jose Castillo","ARI","RP","8.0","8","1","0","4.37","1.47","4","8","4","1","8","0","1","0","16"
"Brad Wieck","CHC","RP","8.0","9","0","0","4.72","1.41","4","7","4","1","8","0","0","0","12"
"Josh James","STL","SP","8.0","7","0","0","4.90","1.48","4","8","4","1","8","0","0","0","10"
"Austin Schulfer","MIN","","7.8","7","0","0","4.57","1.45","4","8","3","1","8","0","0","0","10"
"Randy Labaut","CLE","","7.8","6","0","0","4.77","1.57","4","8","4","1","8","0","0","0","9"
"Royber Salinas","OAK","SP","7.4","8","0","0","4.27","1.39","4","7","4","1","6","0","0","0","11"
"Austin Davis","SD","SP,RP","7.4","7","0","0","5.20","1.44","4","7","4","1","6","0","0","0","10"
"Heath Hembree","SEA","RP","7.3","7","0","0","4.84","1.38","4","7","3","1","7","0","1","0","7"
"Noah Skirrow","PHI","","7.3","5","0","0","5.75","1.53","5","8","3","1","1","1","1","0","4"
"Dominic Hamel","NYM","SP","7.1","7","0","0","4.45","1.42","4","7","3","1","5","0","0","0","10"
"Jimmy Cordero","","RP","6.6","6","0","0","4.37","1.28","3","6","2","1","6","0","0","0","9"
"David Buchanan","PHI","SP","6.0","6","0","0","4.50","1.33","3","6","2","1","2","2","0","0","9"
"Nick Snyder","PHI","RP","6.0","6","0","0","4.81","1.44","3","6","3","1","6","0","0","0","8"
"Braydon Fisher","LAD","SP","6.0","6","0","0","4.62","1.55","3","6","4","1","6","0","0","0","8"
"Chad Dallas","TOR","SP","6.0","5","0","0","4.41","1.45","3","6","3","1","6","0","0","0","7"
"Dakota Chalmers","ARI","SP","6.0","5","0","0","5.19","1.58","3","6","4","1","6","0","0","0","7"
"Tanner Tully","NYY","RP","5.8","4","0","0","4.35","1.41","3","6","2","1","5","0","0","0","6"
""
""
