EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi/BR	ESPN	LYR	L10	SZN	Splits
-6.2	120 BR	45%	COL @ DAL		2p_total	u 1.5	-152/+120	-	-155/+110	-	-	-146/125	-162/120	-	-	-	-	
-6.3	115 MGM	47%	COL @ DAL	Wyatt Johnston	pts	u 0.5	-136	-148/+115	-155/+115	-155/125	-	-155/117	-129/-103	-155/+115	52%	40%	35%	0,1,1,0,1,1,0,0,3,1
-6.3	215 FD	32%	COL @ DAL	Mikael Granlund	ast	o 0.5	'+215	'+195/-265	-	'+195/-270	179/-278	201/-281	-	'+190/-260	-	10%	32%	0,0,0,0,0,0,1,0,0,0
-6.3	-385 BR	79%	COL @ DAL		spread	u -2.0	-	-	-	-	262/-404	-	295/-385	-	-	-	-	
-6.4	128 BR	44%	COL @ DAL	Devon Toews	pts	o 0.5	'+124	'+126/-162	'+120/-160	130/-165	-	125/-166	128/-167	'+120/-160	48%	70%	46%	3,1,0,1,1,0,0,1,1,1
-6.4	-1667 BR	94%	COL @ DAL	Brock Nelson	pts	u 1.5	'+830	'+600	-	'+700	-	-	650/-1667	-	-	70%	82%	0,0,2,0,0,0,0,2,0,2
-6.4	200 BR	33%	COL @ DAL		giff	o  	'+186/-250	-	-	-	-	-	200/-275	'+185/-235	-	-	-	
-6.5	480 FD	17%	COL @ DAL	Nathan Mackinnon	pts	o 2.5	'+480	'+350	-	'+375	-	-	410	-	16%	30%	19%	1,3,1,1,3,1,0,1,2,3
-6.5	-120 ESPN	55%	COL @ DAL	Mikko Rantanen	ast	u 0.5	-106	-110/-120	-	-110/-120	-117/-125	-111/-120	-	-110/-120	-	50%	46%	0,2,1,0,0,0,1,0,2,3
-6.6	-248 DK	71%	COL @ DAL	Artturi Lehkonen	ast	u 0.5	'+164	'+185/-248	-	'+185/-250	168/-258	188/-261	-	'+180/-250	64%	80%	77%	0,0,0,1,0,1,0,0,0,0
-6.6	-275 MGM	73%	COL @ DAL		2p_spread	o 0.5	-	-	-275/+180	-	-	-250/204	-	-	-	-	-	
-6.7	-286 BR	74%	COL @ DAL		2p_total	u 2.5	-	-	'+200/-295	-	-	-	205/-286	-	-	-	-	
-6.7	225 BR	31%	COL @ DAL		1p_total	u 1.0	-	-	-285/+210	-	-	-269/214	-315/225	-	-	-	-	
-6.7	190 BR	34%	COL @ DAL		spread	o -1.5	'+180/-235	'+190/-230	190/-235	'+190/-230	185/-225	192/-228	190/-240	175/-225	-	-	-	
-6.7	290 MGM	26%	COL @ DAL		3p_spread	o -1.0	-	-	'+290/-450	-	-	275/-348	-	-	-	-	-	
-7.0	-1000 BR	91%	COL @ DAL	Valeri Nichushkin	pts	u 1.5	'+560	'+450	-	'+500	-	-	510/-1000	-	71%	80%	85%	0,1,0,2,0,0,1,0,0,2
-7.0	-1000 BR	91%	COL @ DAL	Tyler Seguin	pts	u 1.5	'+560	'+475	-	'+475	-	-	510/-1000	-	83%	80%	80%	2,2,0,1,0,1,1,0,1,0
-7.0	-835 BR	89%	COL @ DAL	Thomas Harley	pts	u 1.5	'+540	'+400	-	'+425	-	-	450/-835	-	87%	100%	85%	1,1,0,0,1,1,1,0,1,0
-7.0	-1430 BR	93%	COL @ DAL	Mikael Granlund	pts	u 1.5	'+700	'+550	-	'+600	-	-	600/-1430	-	-	100%	86%	0,0,0,0,0,0,1,0,0,1
-7.0	370 FD	21%	COL @ DAL	Martin Necas	pts	o 1.5	'+370	'+295	-	'+300	-	-	310/-480	-	-	20%	25%	1,0,1,1,1,0,0,0,2,2
-7.0	-3335 BR	97%	COL @ DAL	Jamie Benn	pts	u 1.5	'+1000	'+750	-	'+850	-	-	850/-3335	-	82%	90%	94%	0,0,2,0,0,1,1,0,0,0
-7.1	390 FD	20%	COL @ DAL	Roope Hintz	pts	o 1.5	'+390	'+320	-	'+330	-	-	320/-500	-	20%	20%	23%	0,1,1,0,1,0,0,0,2,4
-7.1	-148 CZ	60%	COL @ DAL		total	u 6.0	-	-	-	-	108/-148	115/-137	-	-	-	-	-	
-7.2	255 FD	28%	COL @ DAL	Mikko Rantanen	pts	o 1.5	'+255	'+205	-	'+210	-	-	240/-335	-	-	30%	31%	0,2,1,0,0,0,1,0,3,4
-7.3	-835 BR	89%	COL @ DAL	Matt Duchene	pts	u 1.5	'+500	'+400	-	'+425	-	-	450/-835	-	85%	100%	72%	0,0,0,1,0,0,0,0,1,0
-7.3	-143 BR	59%	COL @ DAL		1p_home_total	o 0.5	-	-	-	-	-	-135/109	-143/105	-	-	-	-	
-7.4	162 FD	38%	COL @ DAL	Devon Toews	ast	o 0.5	'+162	'+155/-204	-	'+155/-210	145/-218	157/-213	-	'+150/-200	39%	50%	38%	2,1,0,0,0,0,0,1,1,1
-7.4	125 BR	44%	COL @ DAL		spread	o -1.0	-	-	-	-	120/-166	-	125/-152	-	-	-	-	
