EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-4.7	-2.0	132 FD	tsitsipas @ zverev	set1_ml	o 	'+132/-174	'+130/-160	-	-	126/-165	126/-147	130/-162	-
-4.7	-	-1800 DK	tiafoe @ shang	set1_total	o 7.5	-5000/+850	-1800/+600	-	-	-	-	-	-
-4.7	-5.9	108 PB	sakkari @ kerber	total	o 21.5	-104/-132	-	-	-	108/-140	114/-128	106/-136	-
-4.7	-	-179 FD	rublev @ fils	set2_total	o 9.5	-179/+125	-	-	-	-195/138	-	-	-
-4.7	-	-910 FD	nadal @ thompson	set1_total	o 7.5	-910/+450	-1400/+550	-	-	-	-	-	-
-4.7	-	-225 FD	hijikata @ dimitrov	total	u 23.5	'+166/-225	-	-	-	-	-	175/-240	-
-4.8	-5.1	-122 FD	tiafoe @ shang	total	u 22.5	-110/-122	-	-110/-125	-	-105/-125	103/-116	102/-129	-
-4.8	-6.9	-125 PB	tiafoe @ shang	spread	o -3.5	-132/+100	-	-140/100	-	-125/-105	-114/101	-127/100	-
-4.8	-	108 PB	tiafoe @ shang	set2_total	u 9.5	-139/+100	-	-	-	-150/108	-	-	-
-4.8	-4.8	-10000 FD	sakkari @ kerber	set1_total	o 6.5	-10000/+1000	-	-	-	-	-2876/1584	-	-
-4.8	-5.0	198 FD	sakkari @ kerber	set1_ml	u 	-275/+198	-235/+190	-	-	-250/185	-230/193	-225/175	-
-4.8	-5.5	-250 PB	naw @ prihodko	ml	o 	-260/+188	-	-275/185	-	-250/170	-252/190	-295/200	-
-4.8	-	-192 FD	nadal @ thompson	total	u 22.5	'+142/-192	-	145/-210	-	-	-	150/-205	-
-4.8	-4.8	-115 BV	hijikata @ dimitrov	total	u 21.0	-	-	-	-115/-115	-	-102/-110	-	-
-4.9	-	-175 PB	tsitsipas @ zverev	spread	u 0.5	'+130/-200	-	-	-	134/-175	-	-	-
-4.9	-	-190 MGM	sabalenka @ kasatkina	total	u 20.5	'+150/-205	-	130/-190	-	-	-	145/-195	-
-4.9	-	-136 FD	sabalenka @ kasatkina	set2_total	o 8.5	-136/-112	-	-	-	-145/105	-	-	-
-4.9	-3.8	175 FD	rublev @ fils	spread	o -4.5	'+175/-260	-	140/-200	-	160/-220	171/-198	175/-240	-
-4.9	-4.8	-2500 MGM	hijikata @ dimitrov	set_spread	u -1.5	-	-	775/-2500	'+1000/-2500	850/-3333	1049/-1475	1150/-2500	-
-4.9	-11.1	430 FD	hijikata @ dimitrov	set1_total	o 12.5	'+430/-1000	'+255/-425	360/-700	-	-	417/-543	-	-
-4.9	-4.9	150 DK	bertimon @ bax	set1_ml	o 	'+142/-182	'+150/-205	-	-	-	141/-183	-	-
-5.0	-6.8	-160 DK	tsitsipas @ zverev	set1_ml	u 	'+132/-174	'+130/-160	-	-	126/-165	126/-147	130/-162	-
-5.0	-8.5	-112 FD	sabalenka @ kasatkina	total	o 18.5	-112/-118	-	-120/-120	-	-115/-115	101/-113	-124/-103	-
-5.0	-4.0	138 FD	rublev @ fils	total	u 21.5	-186/+138	-	-165/120	-	-	-158/137	-182/138	-
-5.0	-	-245 BV	elyasi / sichani @ chepik / khazime	ml	u 	'+194/-270	-	-	'+170/-245	175/-275	-	-	-
-5.1	-	-370 FD	tiafoe @ shang	spread	u -5.5	'+240/-370	-	-	-	-	-	270/-400	-
-5.1	-5.1	-126 FD	smejkalova @ bojica	set1_ml	o 	-126/-102	-	-	-	-	-128/-100	-	-
-5.1	-	120 PB	rublev @ fils	total	o 24.5	'+108/-144	-	-	-	120/-160	-	120/-157	-
-5.1	-5.2	-1000 MGM	rublev @ fils	set_spread	o 1.5	-	-	-1000/475	-	-1110/525	-799/600	-1000/650	-
-5.1	-	-310 FD	nadal @ thompson	spread	u -6.5	'+200/-310	-	-	-	-	-	230/-335	-
-5.1	-	-450 PB	nadal @ thompson	set2_total	u 10.5	'+310/-556	-	-	-	280/-450	-	-	-
-5.1	-5.1	-185 BV	hijikata @ dimitrov	spread	u 4.0	-	-	-	'+140/-185	-	153/-173	-	-
-5.2	-	100 PB	tsitsipas @ zverev	total	o 24.5	-110/-120	-	-	-	100/-130	-	104/-132	-
-5.2	-	-195 PB	tsitsipas @ zverev	set2_total	u 10.5	'+145/-218	-	-	-	144/-195	-	-	-
-5.2	-4.6	-3333 PB	sabalenka @ kasatkina	set_spread	o 1.5	-	-	-5000/900	-	-3333/850	-1766/1219	-2500/1200	-
-5.2	-	-250 PB	sabalenka @ kasatkina	set2_total	u 9.5	'+185/-278	-	-	-	175/-250	-	-	-
-5.2	-4.2	-115 PB	rublev @ fils	set_spread	u -1.5	-	-	-110/-125	-	-115/-115	-102/-113	-115/-110	-
-5.2	-7.0	-110 MGM	rublev @ fils	set_spread	o -1.5	-	-	-110/-125	-	-115/-115	-102/-113	-115/-110	-
-5.2	-5.5	-110 FD	nadal @ thompson	total	o 20.5	-110/-120	-	-120/-120	-115/-115	-110/-120	-104/-108	-112/-114	-
-5.3	-4.3	-145 PB	tsitsipas @ zverev	total	o 22.5	-158/+118	-	-	-	-145/112	-140/124	-137/107	-
-5.3	-	-190 PB	tsitsipas @ zverev	set2_total	o 9.5	-200/+145	-	-	-	-190/142	-	-	-
-5.3	-3.6	100 MGM	tiafoe @ shang	spread	u -3.5	-132/+100	-	-140/100	-	-125/-105	-114/101	-127/100	-
-5.3	-7.5	-114 FD	sakkari @ kerber	spread	u -4.5	-114/-114	-	-	-	-115/-115	-109/-103	-103/-124	-
-5.3	-	-500 PB	sakkari @ kerber	set2_total	u 10.5	'+330/-667	-	-	-	320/-500	-	-	-
-5.3	-5.3	-130 BV	nadal @ thompson	total	u 21.0	-	-	-	100/-130	-	109/-123	-	-
-5.3	-5.9	-150 PB	nadal @ thompson	spread	o -4.5	-154/+116	-	-160/115	-150/+115	-150/112	-139/123	-157/120	-
-5.3	-	-250 MGM	nadal @ thompson	spread	o -3.5	-280/+180	-	-250/175	-	-260/190	-	-265/190	-
-5.3	-6.8	-105 MGM	hijikata @ dimitrov	total	u 20.5	-112/-118	-	-135/-105	-125/-105	-120/-110	-116/103	-124/-104	-
-5.3	-	-800 MGM	chidekh / sanchez @ calzi / raynel	ml	o 	-900/+490	-	-800/375	-	-	-	-	-
-5.4	-	-440 FD	tsitsipas @ zverev	spread	o 4.5	-440/+290	-	-	-	-	-	-455/310	-
-5.4	-5.3	-150 PB	sakkari @ kerber	total	o 19.5	-152/+110	-	-	-	-150/115	-141/125	-159/123	-
-5.4	-5.4	-180 PB	sakkari @ kerber	set1_spread	o -1.5	-	-	-	-	-180/125	-171/146	-	-
-5.4	-	-115 DK	sakkari @ kerber	home_total	u 10.5	-112/-118	-120/-115	-	-	-	-	-	-
-5.4	-3.5	-350 MGM	sabalenka @ kasatkina	total_sets	u 2.5	'+245/-350	'+240/-360	230/-350	-	-	290/-340	255/-345	-
-5.4	-4.2	-260 FD	reguer @ rowinska	ml	u 	'+194/-260	-	180/-275	-	185/-275	206/-277	200/-295	-
-5.4	-	-186 FD	hijikata @ dimitrov	total	u 22.5	'+138/-186	-	140/-200	-	-	-	143/-190	-
-5.4	-	-278 FD	hijikata @ dimitrov	set2_total	o 8.5	-278/+170	-	-	-	-300/205	-	-	-
-5.5	-5.1	-185 PB	tsitsipas @ zverev	set_spread	o 1.5	-	-	-	-	-185/135	-173/153	-182/143	-
-5.5	-3.8	-115 PB	tiafoe @ shang	set_spread	u -1.5	-	-	-120/-120	-	-115/-115	100/-113	-113/-112	-
-5.5	-4.9	-134 FD	smejkalova @ bojica	ml	o 	-134/+106	-	-140/-105	-	-140/100	-137/107	-143/105	-
-5.5	-5.5	-190 FD	sabalenka @ kasatkina	away_total	u 12.5	'+138/-190	-	-	-	-	153/-180	-	-
