NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Chibuzo Agbo	G	'+105	A	BOIS	NU	pts	10.5	11.5	12.08 - 10.0	13.79 - 9.84	55%	60%	8,16,18,5,17,12,2,15,10,9	-115	-115
Chibuzo Agbo	G	'+105	A	BOIS	NU	reb	4.5	4.7	4.88 - 4.22	5.29 - 4.26	42%	40%	2,6,4,5,2,7,4,2,7,5	-125	-105
Chris Brandon	F	'+1300	A	NKU	HOU	reb	8.5	9.8	10.23 - 9.0	10.0 - 9.61	62%	100%	9,17,13,11,12,5,13,5,4,10	-115	-115
Chris Brandon	F	'+1300	A	NKU	HOU	ast	0.5	0.8	1.05 - 0.25	0.62 - 0.89	47%	60%	0,2,1,1,0,1,2,0,0,1	-125	-110
Coleman Hawkins	F	'+110	A	ILL	ARK	3ptm	0.5	1.1	1.15 - 1.0	1.0 - 1.17	59%	40%	0,1,0,2,0,3,0,2,1,0	-200	'+145
Coleman Hawkins	F	'+110	A	ILL	ARK	ast	2.5	3.0	3.45 - 2.33	2.57 - 3.39	53%	40%	4,6,2,2,0,3,1,2,4,1	'+115	-155
Coleman Hawkins	F	'+110	A	ILL	ARK	reb	6.5	6.3	6.75 - 5.67	5.64 - 6.89	50%	40%	5,4,7,7,4,7,7,5,8,9	-110	-120
Coleman Hawkins	F	'+110	A	ILL	ARK	pts	9.5	9.9	10.0 - 9.67	8.43 - 11.0	47%	40%	17,6,6,14,6,16,6,12,18,6	-120	-110
Connor Mccaffery	G	'+105	H	IOWA	AUB	3ptm	1.5	1.2	1.42 - 0.83	0.79 - 1.53	42%	20%	0,1,0,3,0,0,1,1,1,0	'+185	-260
Connor Mccaffery	G	'+105	H	IOWA	AUB	reb	4.5	4.0	3.68 - 4.42	4.14 - 3.82	32%	60%	1,8,5,3,8,4,6,10,3,1	-145	'+110
