Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rush_td	5.3	o5.5 +120/-150	o5.5 +128/-164	o4.5 -150/120	o5.5 +110/-140	o5.5 108/-134	o5.5 130/-155	5.2	-
	rec	36.5	-	-	-	-	-	-	36.5	-
	rec_yd	251.8	-	-	-	-	-	-	251.8	-
	rec_td	1.6	-	-	-	-	-	-	1.6	-

Zack Moss
138.41 FPTS	rush_att	170.3	-	-	-	-	-	-	170.3	-
8.03 ADP	rush_yd	723.4	o700.5 -115/-115	o775.5 -112/-112	-	o700.5 -135/+105	o725.5 -124/100	o700.5 -115/-115	737.6	-
	rush_td	6.2	o6.5 +125/-150	o6.5 +116/-150	-	o6.5 +120/-150	o5.5 -134/108	o6.5 125/-150	5.8	-
	rec	29.5	-	-	-	-	-	-	29.5	-
	rec_yd	204.7	-	-	-	-	-	-	204.7	-
	rec_td	1.4	-	-	-	-	-	-	1.4	-

Brian Robinson
136.9 FPTS	rush_att	185.3	-	-	-	-	-	-	185.3	-
8.06 ADP	rush_yd	725.8	-	-	-	-	o675.5 -112/-112	-	776.1	-
	rush_td	4.9	-	-	-	-	o4.5 -108/-115	-	5.3	-
	rec	28.8	-	-	-	-	-	-	28.8	-
	rec_yd	241.2	-	-	-	-	-	-	241.2	-
	rec_td	1.8	-	-	-	-	-	-	1.8	-

Tony Pollard
136.81 FPTS	rush_att	197.5	-	-	-	-	-	-	197.5	-
7.07 ADP	rush_yd	753.4	o775.5 +125/-155	o700.5 -112/-112	o700.5 -115/-115	o750.5 +100/-130	o725.5 -112/-112	o775.5 130/-155	846.1	-
	rush_td	5.4	o5.5 +110/-135	o5.5 +134/-176	o4.5 -145/115	o5.5 +110/-140	o5.5 130/-162	o5.5 110/-135	5.7	-
	rec	34.2	-	-	-	-	-	-	34.2	-
	rec_yd	236.7	-	-	-	-	-	-	236.7	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Javonte Williams
132.55 FPTS	rush_att	204.2	-	-	-	-	-	-	204.2	-
7.08 ADP	rush_yd	742.4	-	-	-	-	o650.5 100/-124	-	834.3	-
	rush_td	4.1	-	-	-	-	o3.5 -106/-117	-	4.7	-
	rec	41.2	-	-	-	-	-	-	41.2	-
	rec_yd	247.1	-	-	-	-	-	-	247.1	-
	rec_td	1.5	-	-	-	-	-	-	1.5	-

Jaylen Warren
131.6 FPTS	rush_att	142.4	-	-	-	-	-	-	142.4	-
8.04 ADP	rush_yd	656.1	-	o615.5 -112/-112	o675.5 -115/-115	-	-	-	677.4	-
	rush_td	3.9	-	-	-	-	-	-	3.9	-
	rec	47.5	-	-	-	-	-	-	47.5	-
	rec_yd	323.9	-	-	-	-	-	-	323.9	-
	rec_td	1.7	-	-	-	-	-	-	1.7	-

Chase Brown
128.48 FPTS	rush_att	142.4	-	-	-	-	-	-	142.4	-
9.11 ADP	rush_yd	618.2	-	-	-	-	-	-	618.2	-
	rush_td	4.0	-	-	-	-	-	-	4.0	-
	rec	37.3	-	-	-	-	-	-	37.3	-
	rec_yd	312.6	-	-	-	-	-	-	312.6	-
	rec_td	1.9	-	-	-	-	-	-	1.9	-

Devin Singletary
126.18 FPTS	rush_att	196.5	-	-	-	-	-	-	196.5	-
7.11 ADP	rush_yd	742.9	o725.5 +100/-125	o750.5 -112/-112	o700.5 -115/-115	o750.5 -110/-110	o700.5 -143/116	o725.5 -110/-110	847.3	-
	rush_td	4.4	o4.5 +100/-125	o4.5 -108/-118	o3.5 -140/110	o4.5 -105/-115	o4.5 103/-127	o4.5 -105/-115	5.0	-
