EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	Bet365	CZ	Kambi	ESPN	L10% Over	% Over	Splits		Minutes
56.7	-103 BR	51%	hull	Kasey Palmer	shots	o 1.5	-	-	-550	-	-103/-175	-	50%	41%	0,2,1,0,2,2,2,4,0,1	-	90,68,73,90,58
56.3	108 BR	48%	hull	Kyle Joseph	shots	o 1.5	-	-	-400	-	108/-190	-	-%	-%		-	
56.1	138 BR	42%	stoke	Million Manhoef	shots_on_target	o 0.5	-230	-	-	-	138/-225	-	40%	38%	4,0,1,0,0,0,0,2,1,0	-	72,90,60,29,31
54.1	320 DK	24%	psv	Luuk De Jong	tackles	o 1.5	-	'+320	'+275	-120	-	-	40%	36%	2,0,0,1,0,4,1,2,3,0	-	90,120,90,65,90
53.9	175 365	36%	melbourne	Medin Memeti	shots	o 3.5	-150	-	'+175	-	-	-	-%	-%		-	
53.9	175 CZ	36%	arsenal	Mikel Merino	shots	o 2.5	-150	-	-	175	-	-	-%	-%		-	
53.3	480 BR	17%	hull	Lewie Coyle	shots	o 1.5	-	-	'+225	-	480/-1430	-	10%	18%	0,0,1,0,1,1,0,2,0,0	-	23,35,90,90,90
52.9	150 365	40%	real madrid	Kylian Mbappe	tackles	o 0.5	-	-190	'+150/-200	-	-	-	20%	28%	0,2,0,0,0,0,0,0,1,0	🟡	77,90,74,90,78
52.6	135 DK	43%	lille	Ismaily	tackles	o 2.5	-	'+135	-225	-230	-	-	40%	36%	0,3,1,5,4,0,2,0,2,3		17,75,11,76,45
52.3	1600 365	6%	real madrid	Brahim Diaz	shots	o 3.5	'+600	-	'+1600	-	-	-	0%	5%	2,0,1,0,0,0,0,2,1,0	🟡	72,7,58,88,5
52.3	1400 365	7%	aston villa	Jacob Ramsey	shots	o 3.5	'+550	-	'+1400	-	-	-	10%	3%	2,0,5,0,0,0,0,0,0,2	-	45,67,9,27,67
52.3	275 365	27%	arsenal	Ethan Nwaneri	tackles	o 1.5	-	'+125	'+275	-	-	-	-%	-%		-	
51.6	225 365	31%	arsenal	Jurrien Timber	tackles	o 2.5	-	'+165	'+225	-170	-	-	-%	-%		-	
51.4	550 365	15%	real madrid	Eduardo Camavinga	shots	o 1.5	'+260	-	'+550	-	-	-	0%	20%	0,0,1,1,0,0,1,0,0,0		18,87,32,61,12
51.4	550 365	15%	club brugge	Brandon Mechele	tackles	o 3.5	-	-	'+550	260	-	-	0%	0%	1,2,2,0,3,2,2,3,1,2	-	90,90,90,90,90
51.0	900 365	10%	melbourne	Eli Adams	shots	o 3.5	'+400	-	'+900	-	-	-	-%	-%		-	
50.9	195 DK	34%	lille	Hakon Arnar Haraldsson	tackles	o 1.5	-	'+195	-120	-	-	-	10%	32%	0,1,0,1,1,0,1,0,3,1		67,76,45,90,75
50.3	165 DK	38%	lille	Thomas Meunier	tackles	o 2.5	-	'+165	-110	-220	-	-	50%	23%	0,3,3,3,4,2,1,8,0,1	🟡	90,90,90,90,66
50.0	1200 365	8%	lille	Ethan Mbappe	shots	o 3.5	'+500	-	'+1200	-	-	-	0%	0%	2,0,1,0,0,3,2,1,2,2		27,58,45,45,70
49.2	333 365	23%	arsenal	Riccardo Calafiori	shots	o 1.5	'+160	-	'+333	-	-	-	-%	-%		-	
48.6	275 365	27%	psv	Guus Til	shots	o 1.5	'+110	-	'+275	155	-	-	40%	44%	5,1,0,4,1,6,1,0,0,5	-	62,49,72,90,90
48.4	750 FD	12%	melbourne v newcastle jets	Ben Gibson	shots	o 3.5	'+750	-	'+350	-	-	-	-%	-%		-	
48.3	700 365	12%	aston villa	John Mcginn	shots	o 2.5	'+330	-	'+700	-	-	-	0%	8%	0,1,0,1,0,1,0,2,0,0	-	90,90,90,63,60
48.1	450 DK	18%	lille	Alexsandro Ribeiro	tackles	o 2.5	-	'+450	-	220	-	-	10%	10%	0,1,2,2,1,0,5,1,0,1		90,90,90,90,90
47.6	310 FD	24%	arsenal	Declan Rice	shots	o 2.5	'+310	-	'+150	-	-	-	-%	-%		-	
47.0	700 FD	12%	arsenal	Martin Odegaard	shots	o 4.5	'+700	-	'+333	-	-	-	-%	-%		-	
46.5	185 DK	35%	dortmund	Emre Can	tackles	o 2.5	-	'+185	-120	-125	-	-	50%	38%	3,0,3,3,1,4,0,4,2,2	🟡	90,90,90,90,90
45.8	185 DK	35%	lille	Mitchel Bakker	tackles	o 2.5	-	'+185	-120	-	-	-	10%	15%	1,1,1,1,1,0,3,1,0,0		25,90,45,14,45
45.4	240 365	29%	lille	Thomas Meunier	tackles	o 3.5	-	-	'+240	115	-	-	20%	10%	0,3,3,3,4,2,1,8,0,1	🟡	90,90,90,90,66
45.2	175 365	36%	psv	Walter Benitez	saves	o 3.5	-	-130	'+175	-	-	-	20%	20%	3,3,4,2,5,2,3,1,1,3	-	90,120,90,90,90
45.0	275 365	27%	atletico madrid	Clement Lenglet	tackles	o 1.5	-	'+135	'+275	-	-	-	-%	-%		🟡	
44.9	137 365	42%	psv	Tyrell Malacia	tackles	o 2.5	-	-105	'+137	-380	-	-	11%	11%	2,1,3,0,0,1,1,2,2	-	77,43,90,90,1
44.5	175 365	36%	real madrid	Luka Modric	tackles	o 1.5	-	'+100	'+175	-165	-	-	30%	11%	1,0,1,0,1,1,2,3,0,4		8,85,90,29,90
44.5	110 DK	48%	real madrid	Jude Bellingham	tackles	o 1.5	-	'+110	-275	-	-	-	40%	45%	1,1,1,5,1,3,3,0,0,8		90,38,90,90,85
44.4	550 FD	15%	lille	Benjamin Andre	shots	o 1.5	'+550	-	'+225	340	-	-	0%	9%	1,0,0,0,0,0,0,1,1,1	🟡	90,90,90,90,90
44.1	137 365	42%	real madrid	Federico Valverde	tackles	o 1.5	-	-135	'+137/-188	-260	-	-	20%	44%	1,1,2,1,1,0,0,2,0,0	🟡	90,90,89,81,23
44.1	137 365	42%	club brugge	Ardon Jashari	tackles	o 1.5	-	-185	'+137/-188	-	-	-	50%	50%	3,3,3,1,2,2,0,0,1,1	-	90,88,90,90,90
43.7	225 365	31%	atletico madrid	Giuliano Simeone	shots	o 1.5	-145	-	'+225	175	-	-	-%	-%		🟡	
43.7	135 DK	43%	aston villa	Lamare Bogarde	tackles	o 1.5	-	'+135	-188	-	-	-	40%	50%	3,0,3,0,4,1,2,0,0,0	-	5,32,90,90,1
43.7	135 CZ	43%	arsenal	Ethan Nwaneri	shots	o 2.5	-190	-	-	135	-	-	-%	-%		-	
42.7	110 365	48%	psv	Jerdy Schouten	tackles	o 1.5	-	-225	'+110	-320	-	-	50%	50%	1,5,2,2,1,0	-	73,71,90,90,90
42.6	450 365	18%	melbourne	Benjamin Mazzeo	shots	o 4.5	'+230	-	'+450	-	-	-	-%	-%		-	
41.6	275 365	27%	dortmund	Julian Ryerson	tackles	o 3.5	-	-	'+275	140	-	-	30%	17%	6,2,4,3,0,2,6,2,2,1	🟡	90,90,84,82,28
40.9	100 DK	50%	lille	Ayyoub Bouaddi	tackles	o 2.5	-	'+100	-300	-300	-	-	40%	29%	2,0,8,2,3,6,4,0,0,0	🟡	89,90,28,90,85
40.5	125 DK	44%	psv	Ismael Saibari	tackles	o 2.5	-	'+125	-200	-	-	-	70%	70%	0,4,3,3,2,5,6,1,3,3	-	28,120,90,81,90
39.8	1000 FD	9%	lille	Bafode Diakite	shots	o 1.5	'+1000	-	'+350	650	-	-	10%	11%	0,0,0,0,1,2,0,0,0,0	🟡	90,90,90,90,90
39.7	700 DK	12%	aston villa	Emiliano Martinez	saves	o 4.5	-	'+700	'+350	-	-	-	10%	11%	2,2,3,4,2,1,5,2,1,2	-	90,90,45,90,90
39.6	300 DK	25%	aston villa	Lucas Digne	tackles	o 2.5	-	'+300	'+200	125	-	-	30%	26%	5,0,3,1,0,0,2,1,2,4	-	77,77,8,90,90
39.5	-150 DK	60%	atletico madrid	Conor Gallagher	tackles	o 1.5	-	-150	-	-800	-	-	-%	-%			
39.3	200 365	33%	melbourne	Benjamin Mazzeo	shots	o 3.5	'+100	-	'+200	-	-	-	-%	-%		-	
39.1	350 365	22%	atletico madrid	Rodrigo De Paul	tackles	o 2.5	-	'+185	'+350	-	-	-	-%	-%		🟡	
38.8	-110 365	52%	psv	Noa Lang	tackles	o 0.5	-	-340	-110	-	-	-	70%	70%	1,0,1,0,2,1,5,0,1,1	-	28,114,72,90,66
38.7	160 CZ	38%	aston villa	Axel Disasi	tackles	o 1.5	-	-130	-138/+100	160	-	-	30%	27%	1,0,4,2,0,0,0,1,1,3	-	90,90,90,63,90
38.1	240 CZ	29%	arsenal	Leandro Trossard	shots	o 3.5	'+105	-	'+150	240	-	-	-%	-%		-	
37.8	650 DK	13%	aston villa	Leon Bailey	tackles	o 1.5	-	'+650	'+333	-	-	-	0%	7%	0,0,1,0,1,1,0,0,1,0	-	13,45,90,63,45
37.8	150 DK	40%	arsenal	Thomas Partey	tackles	o 2.5	-	'+150	-120	-170	-	-	-%	-%		-	
37.6	100 DK	50%	lille	Ngalayel Mukau	tackles	o 1.5	-	'+100	-275	-	-	-	40%	52%	2,1,0,0,0,2,3,0,1,2	🟡	70,75,90,62,76
36.8	280 FD	26%	arsenal	Martin Odegaard	shots	o 3.5	'+280	-	'+150	-	-	-	-%	-%		-	
35.9	800 FD	11%	melbourne	Samuel Souprayen	shots	o 1.5	'+800	-	'+400	-	-	-	-%	-%		-	
35.9	750 365	12%	psv	Guus Til	tackles	o 2.5	-	'+380	'+750	-	-	-	0%	0%	0,2,0,0,0,2,1,1,2,1	-	62,49,72,90,90
35.5	320 CZ	24%	dortmund	Ramy Bensebaini	shots	o 1.5	'+175	-	-	320	-	-	30%	22%	0,0,2,1,2,0,0,0,0,2	🟡	2,69,73,8,62
35.1	-143 BR	59%	hull	Joe Gelhardt	shots	o 1.5	-	-	-550	-	-143/-117	-	-%	-%		-	
34.3	140 CZ	42%	real madrid	Brahim Diaz	shots	o 1.5	-150	-	-	140	-	-	20%	19%	2,0,1,0,0,0,0,2,1,0	🟡	72,7,58,88,5
34.1	230 BR	30%	stoke	Amario Cozier Duberry	shots_on_target	o 0.5	'+125	-	-	-	230/-420	-	-%	-%		-	
33.8	280 BR	26%	club brugge	Hugo Vetlesen	shots_on_target	o 0.5	'+155	-	-	-	280/-560	-	0%	20%	0,0,0,0,0,0,0,0,0,0	-	5,45,45,1,45
33.8	280 CZ	26%	arsenal	Leandro Trossard	shots_on_target	o 1.5	'+155	-	-	280	-	-	-%	-%		-	
33.7	-106 BR	51%	watford	Giorgi Chakvetadze	shots	o 1.5	-	-	-275	-	-106/-155	-	-%	-%		-	
33.2	290 DK	26%	aston villa	Emiliano Martinez	saves	o 3.5	-	'+290	'+162	-	-	-	20%	30%	2,2,3,4,2,1,5,2,1,2	-	90,90,45,90,90
32.7	155 BR	39%	stoke	Tyrhys Dolan	shots_on_target	o 0.5	-125	-	-	-	155/-265	-	-%	-%		-	
32.7	265 DK	27%	club brugge	Brandon Mechele	tackles	o 2.5	-	'+265	'+225	100	-	-	20%	18%	1,2,2,0,3,2,2,3,1,2	-	90,90,90,90,90
32.7	1800 FD	5%	arsenal	Martin Odegaard	shots	o 5.5	'+1800	-	'+700	-	-	-	-%	-%		-	
32.6	320 CZ	24%	atletico madrid	Marcos Llorente	shots	o 1.5	'+115	-	'+300	320	-	-	-%	-%		🟡	
32.5	550 FD	15%	aston villa	Boubacar Kamara	shots	o 1.5	'+550	-	'+300	-	-	-	0%	0%	1,0,0,1,0,1,0,0,0,0	-	90,90,15,27,30
32.3	310 BR	24%	portsmouth	Marlon Pack	shots	o 1.5	-	-	'+175	-	310/-715	-	-%	-%		-	
32.0	100 DK	50%	atletico madrid	Javi Galan	tackles	o 2.5	-	'+100	-	-240	-	-	-%	-%		🟡	
32.0	1200 365	8%	arsenal	Riccardo Calafiori	shots	o 2.5	'+550	-	'+1200	-	-	-	-%	-%		-	
32.0	100 CZ	50%	arsenal	Leandro Trossard	shots	o 2.5	-240	-	-	100	-	-	-%	-%		-	
31.8	120 DK	45%	dortmund	Ramy Bensebaini	tackles	o 2.5	-	'+120	-	-180	-	-	30%	39%	1,0,0,3,0,0,3,0,1,4	🟡	2,69,73,8,62
31.8	200 CZ	33%	arsenal	Martin Odegaard	shots	o 2.5	'+110	-	-	200	-	-	-%	-%		-	
31.4	175 CZ	36%	arsenal	Declan Rice	shots	o 1.5	-105	-	-	175	-	-	-%	-%		-	
31.0	350 365	22%	lille	Benjamin Andre	tackles	o 4.5	-	-	'+350	200	-	-	20%	10%	5,2,2,1,3,0,3,3,1,5	🟡	90,90,90,90,90
31.0	162 365	38%	lille	Benjamin Andre	tackles	o 3.5	-	-	'+162	-115	-	-	20%	20%	5,2,2,1,3,0,3,3,1,5	🟡	90,90,90,90,90
31.0	350 365	22%	real madrid	Antonio Rudiger	tackles	o 1.5	-	'+200	'+350	-	-	-	10%	12%	1,0,3,0,0,0,0,0,1,0	🟡	90,5,90,90,90
30.8	125 DK	44%	dortmund	Pascal Gross	tackles	o 2.5	-	'+125	-	-165	-	-	30%	18%	1,4,2,3,2,2,2,5,1,0	🟡	90,90,90,90,74
29.6	260 FD	28%	melbourne v newcastle jets	Ben Gibson	shots	o 2.5	'+260	-	'+150	-	-	-	-%	-%		-	
29.5	105 DK	49%	lille	Benjamin Andre	tackles	o 2.5	-	'+105	-150	-300	-	-	50%	40%	5,2,2,1,3,0,3,3,1,5	🟡	90,90,90,90,90
29.4	180 DK	36%	real madrid	Aurelien Tchouameni	tackles	o 2.5	-	'+180	'+162	-160	-	-	10%	23%	1,0,2,2,0,3,0,2,2,1	🟡	90,90,90,90,90
29.0	300 365	25%	atletico madrid	Conor Gallagher	shots	o 1.5	'+115	-	'+300	280	-	-	-%	-%			
28.6	333 365	23%	dortmund	Maximilian Beier	shots	o 2.5	'+195	-	'+333	-	-	-	20%	11%	2,1,0,1,2,0,6,3,1,0	🟡	45,90,88,25,28
28.5	-127 BR	56%	club brugge	Gustaf Nilsson	shots	o 1.5	-330	-	-	-	-127/-136	-	30%	54%	8,1,5,0,1,0,1,3,0,1	-	5,32,90,6,18
28.3	750 DK	12%	atletico madrid	Antoine Griezmann	tackles	o 2.5	-	'+750	'+400	-	-	-	-%	-%		🟡	
27.9	120 365	45%	atletico madrid	Rodrigo De Paul	tackles	o 1.5	-	-165	'+120/-163	-	-	-	-%	-%		🟡	
27.7	-165 FD	62%	melbourne	Thomas Aquilina	shots	o 0.5	-165	-	-550	-	-	-	-%	-%		-	
27.5	175 DK	36%	atletico madrid	Marcos Llorente	tackles	o 2.5	-	'+175	'+120/-163	-190	-	-	-%	-%		🟡	
26.9	1000 365	9%	melbourne	Benjamin Mazzeo	shots	o 5.5	'+500	-	'+1000	-	-	-	-%	-%		-	
26.9	1000 365	9%	real madrid	Luka Modric	shots	o 2.5	'+500	-	'+1000	-	-	-	0%	2%	0,1,0,0,1,0,2,0,1,0		8,85,90,29,90
26.7	140 BR	42%	psv	Ismael Saibari	shots_on_target	o 0.5	-130	-	-	-	140/-235	-	70%	68%	1,1,2,0,0,2,3,2,0,2	-	28,120,90,81,90
26.6	165 BR	38%	lille	Remy Cabella	shots_on_target	o 0.5	-105	-	-	-	165/-295	-	40%	26%	1,2,0,0,1,1,0,0,0,0		82,63,62,45,90
26.3	135 DK	43%	lille	Alexsandro Ribeiro	tackles	o 1.5	-	'+135	-	-135	-	-	30%	35%	0,1,2,2,1,0,5,1,0,1		90,90,90,90,90
25.8	290 DK	26%	dortmund	Waldemar Anton	tackles	o 2.5	-	'+290	'+175	-	-	-	10%	21%	0,0,3,1,0,0,2,1,0,0		2,90,90,2,1
25.7	225 365	31%	dortmund	Julian Brandt	tackles	o 1.5	-	'+135	'+225	-	-	-	10%	13%	3,1,0,0,0,0,0,0,1,1	🟡	90,68,2,82,90
25.6	140 DK	42%	real madrid	Brahim Diaz	tackles	o 1.5	-	'+140	-110/-125	-230	-	-	20%	27%	1,0,0,0,0,0,0,3,3,0	🟡	72,7,58,88,5
25.5	240 FD	29%	club brugge	Joel Ordonez	shots	o 0.5	'+240	-	-	145	-	-	20%	26%	0,0,1,0,2,0,0,0,0,0	-	90,90,90,90,62
25.4	170 BR	37%	lille	Giovanni Reyna	shots_on_target	o 0.5	'+100	-	-	-	170/-315	-	-%	-%			
25.0	150 365	40%	club brugge	Gustaf Nilsson	shots	o 2.5	-115	-	'+150	-	-	-	30%	43%	8,1,5,0,1,0,1,3,0,1	-	5,32,90,6,18
