playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8479380,2022,Dylan Wells,CHI,G,other,1,81.0,0.09,0.0,2.0,0.06,0.0,0.11,0.0,0.8,0.0,0.0,0.0,0.36,0.0,0.35,1.0,0.09,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8479380,2022,Dylan Wells,CHI,G,all,1,1200.0,1.57,1.0,30.0,0.97,0.0,3.02,1.0,14.1,13.0,0.3,0.0,8.5,12.0,6.42,7.0,1.54,14.0,5.0,2.0,0.53,0.53,0.5,1.0,0.0,0.0,9.0,0.0,0.0
8479380,2022,Dylan Wells,CHI,G,5on5,1,935.0,1.4,0.0,26.0,0.86,0.0,2.75,1.0,12.56,12.0,0.27,0.0,7.71,12.0,5.81,6.0,1.37,13.0,4.0,2.0,0.45,0.44,0.5,0.0,0.0,0.0,7.0,0.0,0.0
8479380,2022,Dylan Wells,CHI,G,4on5,1,145.0,0.08,1.0,2.0,0.05,0.0,0.16,0.0,0.74,1.0,0.02,0.0,0.43,0.0,0.26,0.0,0.08,1.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8479380,2022,Dylan Wells,CHI,G,5on4,1,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8478435,2022,Dan Vladar,CGY,G,other,13,1615.0,2.58,3.0,45.0,1.64,0.0,4.29,5.0,22.63,23.0,0.45,0.0,13.69,15.0,8.05,8.0,2.54,17.0,12.0,2.0,0.54,1.47,0.58,1.0,2.0,0.0,14.0,0.0,0.0
8478435,2022,Dan Vladar,CGY,G,all,13,45810.0,34.47,36.0,690.0,26.87,26.0,89.94,92.0,384.48,380.0,13.99,8.0,212.27,157.0,152.94,195.0,33.38,385.0,112.0,32.0,11.65,13.39,9.43,20.0,9.0,7.0,161.0,2.0,1.0
8478435,2022,Dan Vladar,CGY,G,5on5,13,35755.0,24.57,24.0,527.0,18.93,22.0,71.5,66.0,292.17,287.0,10.96,7.0,159.4,117.0,119.07,154.0,23.77,303.0,77.0,23.0,9.26,9.27,6.04,15.0,5.0,4.0,124.0,2.0,1.0
8478435,2022,Dan Vladar,CGY,G,4on5,13,4347.0,6.67,8.0,105.0,5.96,4.0,13.35,19.0,62.32,61.0,0.36,0.0,36.84,23.0,20.15,28.0,6.42,59.0,19.0,7.0,1.65,2.21,2.82,4.0,1.0,3.0,20.0,0.0,0.0
8478435,2022,Dan Vladar,CGY,G,5on4,13,4093.0,0.65,1.0,13.0,0.34,0.0,0.79,2.0,7.37,9.0,2.21,1.0,2.34,2.0,5.68,5.0,0.64,6.0,4.0,0.0,0.2,0.44,0.0,0.0,1.0,0.0,3.0,0.0,0.0
8476234,2022,Keith Kinkaid,BOS,G,other,1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8476234,2022,Keith Kinkaid,BOS,G,all,1,3594.0,3.2,1.0,55.0,2.29,3.0,7.07,9.0,31.56,31.0,0.98,0.0,17.47,13.0,11.95,17.0,2.73,32.0,7.0,4.0,1.01,0.87,1.33,0.0,0.0,1.0,12.0,0.0,0.0
8476234,2022,Keith Kinkaid,BOS,G,5on5,1,2817.0,2.46,0.0,46.0,1.85,3.0,6.01,7.0,26.27,26.0,0.73,0.0,14.84,12.0,10.0,14.0,1.99,28.0,5.0,3.0,0.83,0.6,1.03,0.0,0.0,0.0,10.0,0.0,0.0
8476234,2022,Keith Kinkaid,BOS,G,4on5,1,360.0,0.41,0.0,6.0,0.34,0.0,0.84,2.0,3.62,3.0,0.06,0.0,2.25,1.0,1.03,2.0,0.41,3.0,2.0,0.0,0.15,0.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8476234,2022,Keith Kinkaid,BOS,G,5on4,1,297.0,0.33,1.0,3.0,0.1,0.0,0.21,0.0,1.68,2.0,0.15,0.0,0.38,0.0,0.92,1.0,0.33,1.0,0.0,1.0,0.03,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0
8477480,2022,Eric Comrie,BUF,G,other,11,1481.0,1.93,2.0,34.0,1.44,2.0,3.54,5.0,17.68,19.0,0.41,1.0,10.85,10.0,5.66,5.0,1.7,16.0,7.0,1.0,0.67,0.89,0.37,0.0,2.0,0.0,10.0,0.0,0.0
8477480,2022,Eric Comrie,BUF,G,all,11,37754.0,34.45,38.0,557.0,23.11,35.0,72.27,82.0,325.97,336.0,11.02,13.0,174.68,129.0,129.92,153.0,32.78,320.0,91.0,34.0,10.33,11.28,12.85,13.0,13.0,12.0,112.0,0.0,0.0
8477480,2022,Eric Comrie,BUF,G,5on5,11,29775.0,23.13,26.0,428.0,16.89,27.0,58.28,71.0,249.97,259.0,8.47,9.0,134.63,95.0,100.89,116.0,21.86,254.0,67.0,21.0,8.51,8.23,6.39,11.0,9.0,6.0,86.0,0.0,0.0
8477480,2022,Eric Comrie,BUF,G,4on5,11,2538.0,7.61,9.0,73.0,3.93,6.0,8.38,5.0,43.29,43.0,0.39,0.0,24.59,19.0,13.15,19.0,7.43,37.0,13.0,9.0,0.76,1.56,5.29,2.0,1.0,6.0,14.0,0.0,0.0
8477480,2022,Eric Comrie,BUF,G,5on4,11,3960.0,1.79,1.0,22.0,0.86,0.0,2.08,1.0,15.02,15.0,1.76,3.0,4.62,5.0,10.22,13.0,1.79,13.0,4.0,3.0,0.38,0.6,0.81,0.0,1.0,0.0,2.0,0.0,0.0
8476433,2022,Magnus Hellberg,DET,G,other,5,579.0,1.54,0.0,16.0,0.55,2.0,1.39,0.0,7.6,6.0,0.14,0.0,4.32,6.0,1.95,2.0,1.4,7.0,0.0,3.0,0.4,0.0,1.14,0.0,0.0,0.0,6.0,0.0,0.0
8476433,2022,Magnus Hellberg,DET,G,all,5,16731.0,13.14,12.0,255.0,9.24,8.0,29.13,25.0,130.84,128.0,4.45,3.0,74.07,69.0,52.13,63.0,12.65,125.0,45.0,12.0,4.12,5.53,3.49,3.0,6.0,3.0,73.0,0.0,0.0
8476433,2022,Magnus Hellberg,DET,G,5on5,5,13037.0,10.07,10.0,200.0,7.43,6.0,23.86,19.0,105.19,101.0,3.15,1.0,59.45,57.0,42.8,50.0,9.76,99.0,40.0,8.0,3.06,4.96,2.04,2.0,6.0,2.0,53.0,0.0,0.0
8476433,2022,Magnus Hellberg,DET,G,4on5,5,1612.0,1.39,2.0,33.0,1.1,0.0,3.28,5.0,14.39,17.0,0.17,0.0,8.91,4.0,4.8,9.0,1.33,14.0,5.0,1.0,0.51,0.57,0.31,1.0,0.0,1.0,13.0,0.0,0.0
8476433,2022,Magnus Hellberg,DET,G,5on4,5,1503.0,0.03,0.0,4.0,0.06,0.0,0.37,0.0,2.11,2.0,0.88,2.0,0.7,2.0,1.79,1.0,0.03,3.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8479193,2022,Casey DeSmith,PIT,G,other,13,937.0,2.69,4.0,28.0,1.14,2.0,2.68,2.0,14.57,15.0,0.25,1.0,7.23,4.0,4.79,7.0,2.48,9.0,5.0,5.0,0.42,0.72,1.55,1.0,1.0,2.0,9.0,0.0,0.0
8479193,2022,Casey DeSmith,PIT,G,all,13,45709.0,38.8,38.0,782.0,30.44,34.0,94.28,86.0,417.53,429.0,12.44,18.0,233.65,193.0,168.98,218.0,37.46,427.0,118.0,35.0,13.26,14.46,11.07,11.0,14.0,13.0,202.0,2.0,1.0
8479193,2022,Casey DeSmith,PIT,G,5on5,13,37641.0,28.18,29.0,620.0,22.38,26.0,75.96,68.0,325.13,333.0,10.64,17.0,181.01,151.0,133.69,170.0,27.46,337.0,93.0,22.0,10.21,11.44,6.53,8.0,12.0,9.0,168.0,2.0,1.0
8479193,2022,Casey DeSmith,PIT,G,4on5,13,3740.0,6.67,5.0,116.0,6.32,5.0,14.01,13.0,65.93,66.0,0.31,0.0,41.77,37.0,22.04,30.0,6.34,68.0,20.0,5.0,2.17,2.31,2.19,2.0,1.0,2.0,23.0,0.0,0.0
8479193,2022,Casey DeSmith,PIT,G,5on4,13,3391.0,1.26,0.0,18.0,0.6,1.0,1.64,3.0,11.9,15.0,1.23,0.0,3.64,1.0,8.46,11.0,1.17,13.0,0.0,3.0,0.46,0.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0
8482821,2022,Arvid Soderblom,CHI,G,other,15,557.0,1.2,2.0,15.0,0.61,0.0,1.22,1.0,7.23,5.0,0.13,1.0,4.41,3.0,2.32,3.0,1.17,3.0,5.0,2.0,0.12,0.58,0.49,0.0,1.0,1.0,5.0,0.0,0.0
8482821,2022,Arvid Soderblom,CHI,G,all,15,50114.0,44.26,48.0,837.0,31.33,39.0,106.52,105.0,459.78,453.0,11.65,10.0,244.39,184.0,182.6,233.0,42.61,448.0,127.0,49.0,12.92,16.12,15.22,16.0,18.0,14.0,213.0,0.0,0.0
8482821,2022,Arvid Soderblom,CHI,G,5on5,15,42611.0,34.55,34.0,705.0,25.87,35.0,93.29,95.0,390.13,384.0,9.31,7.0,208.69,160.0,155.91,196.0,33.33,389.0,106.0,36.0,11.43,13.46,9.66,15.0,12.0,7.0,174.0,0.0,0.0
8482821,2022,Arvid Soderblom,CHI,G,4on5,15,2811.0,6.11,9.0,87.0,3.82,3.0,9.33,8.0,44.02,49.0,0.2,0.0,25.12,20.0,13.23,17.0,5.73,42.0,9.0,8.0,0.92,1.0,4.19,1.0,3.0,5.0,28.0,0.0,0.0
8482821,2022,Arvid Soderblom,CHI,G,5on4,15,4135.0,2.27,3.0,23.0,0.85,1.0,1.97,0.0,15.39,13.0,1.95,2.0,4.71,1.0,9.76,15.0,2.24,10.0,7.0,3.0,0.31,1.08,0.88,0.0,2.0,1.0,3.0,0.0,0.0
8480420,2022,Collin Delia,VAN,G,other,3,232.0,0.4,1.0,9.0,0.33,0.0,0.77,0.0,4.36,4.0,0.03,0.0,3.21,5.0,1.15,0.0,0.33,4.0,2.0,0.0,0.19,0.2,0.0,0.0,1.0,0.0,3.0,0.0,0.0
8480420,2022,Collin Delia,VAN,G,all,3,9768.0,11.02,7.0,175.0,7.33,12.0,20.79,15.0,94.04,88.0,2.47,1.0,52.48,48.0,35.15,40.0,10.51,76.0,40.0,14.0,2.43,4.84,3.74,1.0,3.0,3.0,45.0,0.0,0.0
8480420,2022,Collin Delia,VAN,G,5on5,3,8339.0,9.04,5.0,146.0,5.95,11.0,17.91,15.0,78.26,75.0,2.02,1.0,42.69,38.0,29.71,31.0,8.63,66.0,29.0,13.0,1.95,3.56,3.54,1.0,1.0,3.0,38.0,0.0,0.0
8480420,2022,Collin Delia,VAN,G,4on5,3,701.0,1.11,1.0,17.0,0.85,1.0,1.85,0.0,8.95,6.0,0.02,0.0,5.9,4.0,2.99,7.0,1.08,6.0,7.0,0.0,0.3,0.81,0.0,0.0,1.0,0.0,4.0,0.0,0.0
8480420,2022,Collin Delia,VAN,G,5on4,3,496.0,0.47,0.0,3.0,0.2,0.0,0.26,0.0,2.47,3.0,0.38,0.0,0.69,1.0,1.3,2.0,0.47,0.0,2.0,1.0,0.0,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0
8479496,2022,David Rittich,WPG,G,other,9,791.0,1.36,5.0,19.0,0.92,0.0,2.17,3.0,11.59,13.0,0.22,0.0,7.01,5.0,4.15,3.0,1.33,11.0,4.0,1.0,0.48,0.64,0.24,3.0,1.0,1.0,3.0,0.0,0.0
8479496,2022,David Rittich,WPG,G,all,9,31758.0,22.77,23.0,498.0,17.45,14.0,61.95,59.0,259.94,245.0,8.7,9.0,145.87,121.0,109.26,144.0,22.18,272.0,73.0,21.0,7.69,9.25,5.84,12.0,6.0,5.0,132.0,0.0,0.0
8479496,2022,David Rittich,WPG,G,5on5,9,25811.0,16.82,17.0,402.0,13.49,13.0,52.52,50.0,207.1,191.0,6.88,9.0,116.05,100.0,85.18,107.0,16.36,224.0,52.0,15.0,6.07,6.61,4.13,9.0,5.0,3.0,111.0,0.0,0.0
8479496,2022,David Rittich,WPG,G,4on5,9,2482.0,2.93,1.0,55.0,2.31,1.0,5.53,5.0,26.44,25.0,0.26,0.0,18.45,14.0,9.79,18.0,2.82,26.0,13.0,1.0,1.0,1.43,0.51,0.0,0.0,1.0,15.0,0.0,0.0
8479496,2022,David Rittich,WPG,G,5on4,9,2674.0,1.66,0.0,22.0,0.72,0.0,1.74,1.0,14.8,16.0,1.35,0.0,4.36,2.0,10.14,16.0,1.66,11.0,4.0,4.0,0.13,0.57,0.96,0.0,0.0,0.0,3.0,0.0,0.0
8476883,2022,Andrei Vasilevskiy,TBL,G,other,26,2373.0,3.32,1.0,54.0,2.08,0.0,5.45,4.0,27.57,26.0,1.05,1.0,16.89,20.0,10.29,12.0,3.04,23.0,13.0,3.0,0.85,1.54,0.92,0.0,1.0,0.0,15.0,0.0,0.0
8476883,2022,Andrei Vasilevskiy,TBL,G,all,26,93597.0,76.56,63.0,1435.0,56.4,64.0,175.68,152.0,777.14,799.0,27.84,29.0,427.84,334.0,305.96,432.0,72.91,766.0,223.0,79.0,21.95,27.68,26.91,19.0,24.0,20.0,367.0,0.0,0.0
8476883,2022,Andrei Vasilevskiy,TBL,G,5on5,26,74035.0,53.73,43.0,1083.0,39.89,48.0,136.56,128.0,584.79,609.0,22.06,24.0,319.26,237.0,234.63,332.0,51.85,579.0,172.0,52.0,17.19,21.57,14.97,13.0,20.0,10.0,280.0,0.0,0.0
8476883,2022,Andrei Vasilevskiy,TBL,G,4on5,26,9119.0,16.97,15.0,247.0,12.68,16.0,29.02,18.0,134.12,135.0,0.72,0.0,80.05,66.0,40.5,64.0,15.5,135.0,26.0,23.0,3.1,3.1,10.77,4.0,2.0,9.0,63.0,0.0,0.0
8476883,2022,Andrei Vasilevskiy,TBL,G,5on4,26,8070.0,2.17,4.0,38.0,1.32,0.0,3.25,2.0,24.36,24.0,3.91,4.0,8.16,6.0,17.43,20.0,2.15,22.0,10.0,1.0,0.67,1.24,0.26,2.0,1.0,1.0,5.0,0.0,0.0
